Item Name,Developers,Price,Rating,Wish,Players,Genres,Review,Release Date,Item Subname
Pokémon Ruby,Nintendo,7.9,3.7,127,7K,RPG,"My favorite Pokémon game, though it has one huge downside.  There are too many HMs to use.",2002,
Pokémon Mystery Dungeon,Nintendo,40,3.7,154,3.8K,RPG,"Even though the gameplay can be boiled down  to a basic dungeon crawler, the other mechanics do make up for it, the story even though its one of those",2005,
Control,505 Games,14.99,3.6,1.3K,9.6K,Adventure,"Was playing this purely for the Alan Wake link, but I think it's too weird for its own good. Control thinks it's being David Lynch, but it's actually more David Lunch.",2019,
Final Fantasy XV,Square Enix,34.99,3.3,1.1K,11K,Adventure,You can tell that this was 2 separate games put together.,2016,
Cyberpunk 2077,CD Projekt RED,59.99,3.3,2.9K,13K,Adventure,It's a game.,2020,
Apex Legends,Electronic Arts,0,3.1,82,12K,Shooter,"Only acceptable battle royale, and even then it’s only solid. Gunplay and movement is great.",2019,
Uncharted Drake's Fortune,Naughty Dog,14.99,3.1,460,12K,Adventure,"It gets a bit repetitive and leaves no time to appreciate the game to it's fullest with enemies on every single place you go. If this wasn't so short, I probably wouldn't have finished it.",2007,
Pokémon Shining Pearl,Nintendo,24.99,2.9,199,1.9K,RPG,they managed to make my least favorite pokemon game even worse. thanks ilca. anyway at least shiny hunting was fun and i can get a shiny arceus sooo one star.,2021,
Back 4 Blood,Warner Bros. Interactive Entertainment,59.99,2.5,335,2.9K,Shooter,a half-baked excuse for a game that doesn't know what it wants to be. could never live up to left 4 dead,2021,
League of Legends,Riot Games,0,2.1,52,13K,Adventure,DO NOT PLAY THIS GAME EVER,2009,
God of War,Sony Interactive Entertainment,49.99,4.2,2.6K,21K,Adventure,One of the greatest games i have ever played,2018,
Super Mario Odyssey,Nintendo,8.99,4.2,2K,25K,Adventure,"A really great game, just didn't stick out as much as it's predecessor 64",2017,
Undertale,tobyfox,9.99,4.2,2.8K,28K,RPG,"soundtrack is tied for #1 with nier automata.  a super charming story and characters which have become iconic. and all that made by 1 man. thats it, thats the review i have no criticisms",2015,
Persona 4 Golden,NIS America,19.99,4.2,2.2K,13K,Adventure,I cried,2012,
The World Ends with You,Square Enix,59.99,4.2,85,11K,RPG,"have never played minecraft a day in my life but my partner wanted to create a cottagecore home. who am i to refuse something so romantic and gay', 'fun for the whole neurodivergent family",2007,
Portal,Electronic Arts,0.99,4.1,1.1K,28K,Puzzle,did somebody say CLASSSSICCCC,2007,
Genshin,Mihoyo,0,4.5,2.7K,128K,RPG,Thanks for creating a such fantastic and amazing world for us,2020,
Dragon Age Origins,Electronic Arts,29.99,4,534,6.1K,RPG,Console camera suits the game more. Change my mind.,2009,
To the Moon,Freebird Games,9.99,3.9,925,4.7K,RPG,"A simple game with simple pixel graphics. It's a point and click adventure with a few puzzles but they are very easy to beat and I felt like they didn't really add much. The story has a lot of heart and is the main appeal of the game. At first I wasn't a fan of the two scientists, but as the game progressed I grew to like them a lot and now I'm looking forward to seeing their story continue in other games",2011,
